id,tanggal,platform,topik,teks
293,20 hours ago,YouTube,Makan Bergizi Gratis,NAHHH INI OTAK DARI SEMUA MBG KENAIKAN PERTAMAX
294,20 hours ago,YouTube,Makan Bergizi Gratis,"kalo dari awal mau mendengarkan kritik, mungkin tidak akan terjadi hal seperti yang terjadi saat ini."
295,20 hours ago,YouTube,Makan Bergizi Gratis,Lihat kan pak prabowo siapa penghianat?
296,20 hours ago,YouTube,Makan Bergizi Gratis,Luhut turut andil penyebab carut marut negeri ini
297,21 hours ago (edited),YouTube,Makan Bergizi Gratis,"Gerindra kedodoran pegang pemerintahan kali pertama dengan kabinet raksasa makan anggaran besar. Terlalu banyak pidato kering tindakan konkrit. Musti sambil belajar banyak bertindak, ngga perlu banyak bicara."
298,21 hours ago,YouTube,Makan Bergizi Gratis,Ulah kau nih pung
299,21 hours ago,YouTube,Makan Bergizi Gratis,Trus hrus diam 😂😂 biar  jln trus gitu
300,21 hours ago,YouTube,Makan Bergizi Gratis,"Kalo kita ga bertengkar, boroknya MBG ga akan ketahuan!"
301,21 hours ago,YouTube,Makan Bergizi Gratis,SIAPKAN MAKAM DI TENGAH TAMBANG BATUBARA HUT😅😅
302,21 hours ago,YouTube,Makan Bergizi Gratis,Ratusan triliun untuk kesejahteraan SPPG
303,21 hours ago,YouTube,Makan Bergizi Gratis,"Ya akhirnya mengakui bahwa program dengan DANA YANG SANGAT BESAR itu tidak direncanakan dengan matang, tidak ada kajian yang matang, hanya didorong oleh ambisi dan ego prabowo. Jelas ini adalah KEJAHATAN"
304,21 hours ago,YouTube,Makan Bergizi Gratis,MBG baru di launching sdh dikorupsi besar besaran
305,17 hours ago,YouTube,Makan Bergizi Gratis,Tapi tetap tidak mau salah😂
306,21 hours ago,YouTube,Makan Bergizi Gratis,"Salah kita semua ? mohon maaf pak, izin kok bisa bisa nya yah program yang ngabisin anggaran sebesar ini tidak di persiapkan dengan perencanaan tata kelola yang matang"
307,21 hours ago,YouTube,Makan Bergizi Gratis,"Nasi sudah jadi basi. cocoknya diberikan ke bebek wkwkwkw. sy nggak kaget krn tanpa perencanaan. diingatkan , ngamuk"
308,21 hours ago,YouTube,Makan Bergizi Gratis,😂
309,21 hours ago,YouTube,Makan Bergizi Gratis,"Klo MBG di stop, yakinlah pasti terjadi demo besar2an. Yg tdk setuju bkn penerima nya, tp pekerja2 dapur yg jumlahnya ratusan ribu orang. Ntah itu protes atas inisiatif mrk sendiri, atau digerakkan oleh bos2 yg punya dapur."
310,21 hours ago,YouTube,Makan Bergizi Gratis,apa maksudnya jangan bertengkar bongkar korupsi di MBG
311,21 hours ago,YouTube,Makan Bergizi Gratis,Semuanya sudah by design
312,21 hours ago,YouTube,Makan Bergizi Gratis,"indonesia sukses, aamiin."
313,21 hours ago,YouTube,Makan Bergizi Gratis,Cepet modar hut luhut!
314,21 hours ago,YouTube,Makan Bergizi Gratis,"Ide besar MBG pemborosan dan banyak mubazzir makanannya karna anak dh bosan,coba turun seminggu aja,apa makanannya di habisin apa tidak."
315,21 hours ago,YouTube,Makan Bergizi Gratis,"Yg selalu ngeyel itu pemerintah , inilah kumpulan org yg hoby bersilat lidah , selama hoby ny sprti ini yg akn tetap sprti itu ingat rakyat ini skrg SDH lelah dibodohi"
316,21 hours ago,YouTube,Makan Bergizi Gratis,"Perang aja pak Luhut binsar Panjaitan buktikanlah ,minimal karier militer bapak di internasional terlihat,meskipun anda sudah memasuki masa tua purnawirawan,saya yakin militer Indonesia mampu melawan militer luar negeri.
Setidaknya delapan puluh tahun Indonesia merdeka,secara strategis latihan perang militer tersebut harus berani perang internasional."
317,21 hours ago,YouTube,Makan Bergizi Gratis,Cuci tangan
318,21 hours ago,YouTube,Makan Bergizi Gratis,kali ini saya sepakat dg opung luhut dg Family Office di Bali
319,21 hours ago,YouTube,Makan Bergizi Gratis,"Kata Luhut jgn habis bertengkar, kalian cukup nurut aja. Nanti baru klo negara ini collapse kita pikirkan bersama2 solusinya. 😂😂😂😂😂"
320,21 hours ago,YouTube,Makan Bergizi Gratis,Program kebanggaan president jangan di kritik pak 😂😂😂
321,21 hours ago,YouTube,Makan Bergizi Gratis,"Udah tahu masih banyak koruptornya
Udah tahu prosedurnya kacau balau padahal menyangkut uang ratusan Trilyun
Kenapa nggak di stop?"
322,22 hours ago,YouTube,Makan Bergizi Gratis,"program mulia. tapi harusnya dikaji dulu dites dulu di beberapa daerah, jangan langsung semua pasti bonyok"
323,22 hours ago,YouTube,Makan Bergizi Gratis,"Rakyat Indonesia sdh nggak percaya dgn omongan Si Luhut. 
Gimana kabar Panama Paper? Gimana kabar Papa Minta Saham???"
324,22 hours ago,YouTube,Makan Bergizi Gratis,"TNI-TNI ini merasa paling berjasa, merasa paling kuat, merasa paling pintar jadi kalau dengar kritikan langsung tempramen 😂"
325,22 hours ago,YouTube,Makan Bergizi Gratis,"Kenapa orang tua ini ya, diberi masukan dengan benar jawabnya kok habis waktu berantam???? Ampunnnn"
326,22 hours ago,YouTube,Makan Bergizi Gratis,"MBG bagus tujuannya tapi rencananya amburadul yang penting dimulai, yang penting dikerjakan, begitu juga kopdes merah putih dan menjadi tempat korupsi tim sukses prabowo"
327,22 hours ago,YouTube,Makan Bergizi Gratis,"Mbg rawan korupsi, sudah terbukti, masih dipaksakan, tanya kenapa ? 😂"
328,22 hours ago,YouTube,Makan Bergizi Gratis,Seharusnya pemerintah sadar diri lahh..pemerintah sudah tidak sanggup bayar gaji guru
329,22 hours ago,YouTube,Makan Bergizi Gratis,"Tutup MBG gitu aja koq repot, yg menghabiskan waktu itu pihak yg masih mau menukmati kue APBN"
330,22 hours ago,YouTube,Makan Bergizi Gratis,"sebenrnya Indonesia yang punya aset para fakar yang hatinya  NKRI   banget, hanya orang-orang yang senang melihat negaranya susah , dan Susah hatinya ketika negara Senang"
331,22 hours ago,YouTube,Makan Bergizi Gratis,Smoga bsk di cabut
332,22 hours ago,YouTube,Makan Bergizi Gratis,"Bukan bkesel bertengkar 
Tapi kami kesel di rampok"
333,22 hours ago,YouTube,Makan Bergizi Gratis,"Pemerintah harus lebih terbuka menerima kritik.
Danantara harusnya terbuka ke publik bos, laporan keuangan dll."
334,22 hours ago,YouTube,Makan Bergizi Gratis,Opung sdh pensiun lah kau
335,22 hours ago,YouTube,Makan Bergizi Gratis,"Kalo rugi harus tanggung rame"" giliran untung dan di suruh perbaiki kebijakan pada diam bae, dasar perusak bangsas."
336,23 hours ago,YouTube,Makan Bergizi Gratis,"Gimana tidak ribut, uang segtu gede tidak dibuatkan undang undang yang mengatur."
337,23 hours ago,YouTube,Makan Bergizi Gratis,Syaitan luhut😂
338,23 hours ago,YouTube,Makan Bergizi Gratis,"Ikut ide bang hotman paris soal mbg pak luhut ,solutif dan efesiensi,jangan kasih gemuk para koruptor"
339,23 hours ago,YouTube,Makan Bergizi Gratis,"Karena sekarang negara dijalankan orang2 bodoh. Bagaimana mungkin sebuah program bisa jalan kalau belum ada systemnya? Harusnya dibuat systemnya lalu uji coba dulu. Ibarat komputer yg menjalankan sebuah program, gak bakal mungkin bisa jalan kalau gak ada Operting system didalamnya yg compatible dgn perangkatnya dan mampu menjalankan program dgn baik. Dasar pejabat dungu."
340,23 hours ago,YouTube,Makan Bergizi Gratis,"PEJABAT INDONESIA SEMUA SOK NASIONALIS DG SURUH RAKYATNYA UPACARA BENDERA NYANYIKAN LAGU WAJIB,HORMAT BENDERA.TAPI SEMUA KEKAYAAN NEGARA MEREKA RAMPOK"
341,23 hours ago,YouTube,Makan Bergizi Gratis,"Alah banyak alasan, biar teralihkan"
342,23 hours ago,YouTube,Makan Bergizi Gratis,Masih aman pung ?
343,23 hours ago,YouTube,Makan Bergizi Gratis,1 orang cukup Gurus MBG kalau pemimpin tegas basmi koruptor  .banyak pimpinan merusak negara ini
344,23 hours ago,YouTube,Makan Bergizi Gratis,"Pung liat tuh si dadan 1M/hri, untung rakyat ribut klo engga makin asik tuh hidup si dadan botak"
345,23 hours ago,YouTube,Makan Bergizi Gratis,Kepala perampok uang rakyat
346,22 hours ago,YouTube,Makan Bergizi Gratis,😅
347,23 hours ago,YouTube,Makan Bergizi Gratis,"Kalo ga bertengkar, si Dadan lolos bos."
348,23 hours ago,YouTube,Makan Bergizi Gratis,"lah berarti ngaku dong, ""Tak Disiapkan dengan Rencana Matang!"" konsekuensi rencana yang tidak matang oitu menyebabkan berapa banyak kerugian negara Pak? berapa banyak yang keracunan Pak?"
349,23 hours ago,YouTube,Makan Bergizi Gratis,Opung 😂
350,23 hours ago,YouTube,Makan Bergizi Gratis,LUHUT LIHUT  PEJABAT NGAK GUNA LO MASIH PUYA MALU LO
351,23 hours ago,YouTube,Makan Bergizi Gratis,"Ijin. AI, digitalisasi, dll, sederhana: LPSE udah bener belum ? udah transparan belum ? itu aja dulu perbaiki, gausah dari 0"
352,23 hours ago,YouTube,Makan Bergizi Gratis,Nyocot terusss
353,23 hours ago,YouTube,Makan Bergizi Gratis,SLALU BERSILAT LIDAH.
354,23 hours ago,YouTube,Makan Bergizi Gratis,Dia disitu dia yg nyalahin dia di gaji lalu manfaat dia apa tugasnya apa😂😂😂😂
355,23 hours ago,YouTube,Makan Bergizi Gratis,As usual yg kotor2 di delegasikan. Terlalu bersih tangan komunitas itu😊
356,23 hours ago,YouTube,Makan Bergizi Gratis,Coba presidennya bisa ngomong ky gini. Jago orasi doang
357,23 hours ago,YouTube,Makan Bergizi Gratis,"Yah orang ini nongol lagi macam nggak ada orang lain saja,biasanya ya mau ngamanin bisnisnya"
358,23 hours ago,YouTube,Makan Bergizi Gratis,muncul biangnya
359,23 hours ago,YouTube,Makan Bergizi Gratis,Tanpa transparasi mau jadi apa negara kita
360,23 hours ago,YouTube,Makan Bergizi Gratis,"Luhut bestinya si botak bgn, hasil jerihpayah rakyat dirampok botak cs, rakyat nesu 😢"
361,23 hours ago,YouTube,Makan Bergizi Gratis,Intinya jangan boros anggaran klo ga tepat guna
362,23 hours ago,YouTube,Makan Bergizi Gratis,Ad itikad baik tapi dicampur denial
363,23 hours ago,YouTube,Makan Bergizi Gratis,"Debat dilingkaran opung
Kalau rakyat no trust"
364,23 hours ago,YouTube,Makan Bergizi Gratis,"MBG dan KDMP 
😂😂😂😂"
365,23 hours ago,YouTube,Makan Bergizi Gratis,"Mau ngasih makan tp yg di undang orang ekonomi. Lo pd beneran dongok, inkompetensi serezim. Mau milih raja, tp yg dipilih penjahat ham dan pecatan. Beneran bubar ini negara! 😂😂"
366,23 hours ago,YouTube,Makan Bergizi Gratis,Rakus bgt ni org. Pas covid udah untung gede masukin vaksin sama test kit
367,23 hours ago,YouTube,Makan Bergizi Gratis,tandai muka pejabat ini
368,23 hours ago,YouTube,Makan Bergizi Gratis,"Nanti 2029 pak Luhut pasti pindah lagi, tergantung siapa berkuasa disitu lah dia nempel 😂😂"
369,23 hours ago,YouTube,Makan Bergizi Gratis,Udah.dari pada  bikin. Kisruh .lebih baik hapuskan.
370,23 hours ago,YouTube,Makan Bergizi Gratis,"Padahal kepala bgn sebelum itu udah kerja dari mbg belum dimulai yang seharusnya bikin perencanaan matang

Malah bikin rencana lainnya 😂😂😂😂😂😂😂😂😂"
371,23 hours ago,YouTube,Makan Bergizi Gratis,"Kalau di siapkan dengan  matang , pasti tidak ketahuan malingnya 😂😂😂😂"
372,1 day ago,YouTube,Makan Bergizi Gratis,Maka itu ajak rakyat dan pengusaha utk dialog .bukan langaung sembaramgan bikin uu
373,1 day ago,YouTube,Makan Bergizi Gratis,Biar ga habis waktu MBG di tutup pak!!
374,1 day ago (edited),YouTube,Makan Bergizi Gratis,"Demo ini aneh dari menolak mbg dan mendukung mbg ,apa lagi tentang IHSG ini beda cerita jika di demo tentang rupiah itu hal yang saya dukung tapi tentang menghentikan mbg itu menurut saya salah karena saya mendukung mbg yang salah itu bukan ide mbg nya tapi peraturan yang harus jelas di mbg itu dan yang mengelola, indonesia itu negara berkembang ingat bukan negara maju yang punya industri² kuat"
375,1 day ago,YouTube,Makan Bergizi Gratis,REKAYASA BUAT KORUPTOR KORUPSI MAFIA MBG KOP MERAH PUTIH 😂😂😂😂😂😂😂😂😂 UDAH TERBUKTI SALAH KORUPSI 😂😂😂😂 PENJAJAH RAKYAT INDONESIA 🤣😅🤣🤣🤣
376,1 day ago,YouTube,Makan Bergizi Gratis,"Padahal orang awam atau pendidikan rendah seperti saya aja berfikirnya MBG baiknya dijalankan/dikelola oleh kantin sekolah/sekitar sekolah,lbh efisiensi,fresh makanannya(hangat),dan terkontrol/terawasi aliran dananya"
377,1 day ago,YouTube,Makan Bergizi Gratis,"Makanya MBG bubarin , bereskan  kan ?"
378,1 day ago,YouTube,Makan Bergizi Gratis,Pertengkaran ini sebenarnya bisa dihindari andaikata pemerintah mau dng lapang dada mendengarkan kritikan dan masukan dari para pengamat ttg kebijakan MBG. Bukannya bersikap antagonis sprti yg selalu diperlihatkan Prabowo. Dan kebuktikan ada korupsi😮
379,1 day ago,YouTube,Makan Bergizi Gratis,"MBG Stop Hancur Negara Indonesia kalo masih di lanjutkan. 99% Mafia semua dari Kepala BGN sampai SPPG bermain semua. Stop 
1% hanya kuasa allah."
380,1 day ago,YouTube,Makan Bergizi Gratis,"Akhirnya pemerintah mengakui sendri,, lelah sudah😂"
381,1 day ago,YouTube,Makan Bergizi Gratis,"KALAU MAU CARI SOLUSI, STOP DULU LAH PAK SAMPAI CLEAR SEMUA-NYA SUPAYA GA TUMPAH-TINDIH DGN RENCANA2 PERBAIKAN YG PEMERINTAH BUAT SETELAH BANJIR KRITIK DARI RAKYAT. 

BAPAK KAN SUDAH MINTA MAAF DAN MENGAKUI KALAU PEMERINTAH SUDAH SALAH UNTUK PROYEK SEBESAR DAN SETIDAK MAIN-MAIN INI? 

RAKYAT HANYA BERTANYA KOK BISA DIJALAN-KAN SEPERTI INI? TRANSPARANSI PERENCANAAN JUGA KURANG, MAKA-NYA BERTENGKAR. MAAF, JANGAN SALAH-KAN RAKYAT PAK. 

DAN, JANGAN AJA SAMPAI MEMBUAT KESALAHAN2 FATAL LEBIH LANJUT, NANTI TAMBAH RUNYAM SIKON NEGARA & EMOSI RAKYAT KITA INI. BAHAYA PAK."
382,1 day ago,YouTube,Makan Bergizi Gratis,"RENCANA YANG SUDAH MATANGPUN JIKA PEJABATNYA SEPERTI LUHUT YAH TETAP TIDAK AKAN BERJALAN BAIK, MBG SUDAH DI RENCAKAN DENGAN MATANG TETAPI DI KACAUKAN OLEH PARA PEJABAT PRABOWO SENDIRI SEPERTI LUHUT"
383,1 day ago,YouTube,Makan Bergizi Gratis,mbg ide besar untuk menggarong uang  rakyat
384,1 day ago,YouTube,Makan Bergizi Gratis,Jutaan pejabat d suap 578 T
385,1 day ago (edited),YouTube,Makan Bergizi Gratis,"Bisa2 nya ngomong ide bagus orang tempatnya koruptor, secara logika MBG di india aja cuma 20trliun dengan populasi 1,5milyar lah kita 340trliun yg jumlah populasinya cuma 278jt orang doang, kocak emang itung2 negara yg pejabatnya terkorup di dunia"
386,1 day ago,YouTube,Makan Bergizi Gratis,MBG 578 T tutupi kejahatan pemilu
387,20 hours ago,YouTube,Makan Bergizi Gratis,"Apalagi ada menantu yg nunggu dijadikan Panglima TNI, ada ponakan yg skrg jadi petinggi DANANTARA masih perlu jabatan lanjutan, juga adik yg skrg jd Duta Besar Indonesia utk Jepang pasti gak mau sampe nganggur😅

Dan yg paling penting bisnis tambang pribadi jangan sampe bubar kan sayang udah babat hutan & lingkungan secara barbar ujug2 ditutup😂"
388,18 hours ago,YouTube,Makan Bergizi Gratis,"emang masih percaya pejabat yg tidak berani
sah kan aturan perampasan aset koruptor dan miskinkan koruptor"
389,22 hours ago,YouTube,Makan Bergizi Gratis,Emang nyampe
390,21 hours ago,YouTube,Makan Bergizi Gratis,😊  kutu loncat memang berpindah2 inang makanya perutnya selalu besar terisi 😊
391,15 hours ago,YouTube,Makan Bergizi Gratis,Merasa milik Indonesia
392,19 hours ago,YouTube,Makan Bergizi Gratis,alah sama aja hapus sudah lah kaga jelas
393,18 hours ago,YouTube,Makan Bergizi Gratis,lalu ekonomi micro bagaimana bergeraknya?
394,16 hours ago,YouTube,Makan Bergizi Gratis,Yg ada pihak sekolah dan kantinnya yg korupsi. Lebih bagus lagungsung di kasih ke orang tuanya uangnya
395,16 hours ago,YouTube,Makan Bergizi Gratis,"​ @panglimaperang21 kasih k ortu juga GK mjamin uangnya dibelikan lauk mkan bergizi,bisa jadi buat jajan anak,emanya,atau bapaknya"
396,12 hours ago,YouTube,Makan Bergizi Gratis,"​ @panglimaperang21 iyaa klw sekolah & kantin yg korup lebih bisa dikontrol, klw MBG kan yg punya org2 besar, jenderal, pejabat, anggota dewan, pengusaha & oligarki2, susah utk mengontrol mereka krena punya power yg besar.
klw sekolah/kantin, seengakknya org tua & murid bisa lgsg kontrol,  komplain & ngeviralin klw ada indikasi korupsi."
397,23 hours ago,YouTube,Makan Bergizi Gratis,"GK banyak koropp
GK.pusing bikin gaduh"
398,22 hours ago,YouTube,Makan Bergizi Gratis,"Trus bpak mamakmu yg ganti smua uang2 pembangunan gedung MBG dan SPPG ya? 
Trus mau matikan pekerja di sana, pake otak lah dlm berpikir jgn asal tutup aja.

Kekurangan memang banyak tp masalah pasti ada jalan keluarnya, itu tantangan utk pemerintah, bukan asal main tutup aja."
399,5 hours ago,YouTube,Makan Bergizi Gratis,"Kalau asal mendengar pengamat, negara juga akan hancur, karena banyak pengamat juga ada yang dibayar asing. Contohnya negara jepang yang disuruh pengamat memberi masukan untuk menaikkan suku bunga jepang. Tidak bisa semudah itu. Mengurus negara memang terlihat gampang."
400,1 day ago,YouTube,Makan Bergizi Gratis,Ini lh contoh sampah dunia yg ga ada guna. Cerminan kualitas rendah akn sejajar dgn pikiran kotor atau IQ70 kebawah.
401,1 day ago,YouTube,Makan Bergizi Gratis,Ada baiknya segera evaluasi dan lihat keadaan sebenarnya di lapangan dan semua kebijakan yang ada.
402,1 day ago,YouTube,Makan Bergizi Gratis,Kapan mati hut??
403,1 day ago,YouTube,Makan Bergizi Gratis,Waduh anjlok katanya 😂
404,1 day ago,YouTube,Makan Bergizi Gratis,"LUHUT
(Lupa Hutan Tumbang)"
405,1 day ago,YouTube,Makan Bergizi Gratis,"LUHUT
(Lupa Hutan Terancam)"
406,1 day ago,YouTube,Makan Bergizi Gratis,"KAPAN MAMPUS, OPUNG!?!?!?"
407,1 day ago,YouTube,Makan Bergizi Gratis,"LUHUT
(Lumbung Hutan)"
408,1 day ago,YouTube,Makan Bergizi Gratis,Bukan debat atau ribut tanpa alasan pemerintah lambat menangani korupsi di BGN maka nya kita ribut harus nya pemerintah berterimakasih kepada rakyat atau para pengamat politik atau ekonomi masak rakyatnya auruh diam melihat para koruptor itu
409,1 day ago,YouTube,Makan Bergizi Gratis,Namanya juga abal2
410,15 hours ago,YouTube,Makan Bergizi Gratis,Sstttt GK boleh gitu
411,21 hours ago,YouTube,Makan Bergizi Gratis,Bapakmu tanya kapan mati lontong
412,18 hours ago,YouTube,Makan Bergizi Gratis,setelah bapak-ibumu dan anis ganjar mati
413,13 hours ago,YouTube,Makan Bergizi Gratis,Tdk lama lg bang doain aja😂😂
414,8 hours ago,YouTube,Makan Bergizi Gratis,Apa salah luhur dgn anda kok bgitu bencinya hatimu padanya😂😂
415,9 minutes ago,YouTube,Makan Bergizi Gratis,​ @Topan-r4m anda sungguh lugu sekali
416,21 hours ago,YouTube,Makan Bergizi Gratis,Setelah anies
417,17 hours ago,YouTube,Makan Bergizi Gratis,​ @adolffranz9502  kalo Wowo and fufu Fafa kapan
418,18 hours ago,YouTube,Makan Bergizi Gratis, @adolffranz9502  setalah kau dan bapak kau
419,13 hours ago,YouTube,Makan Bergizi Gratis,​ @adolffranz9502  kalo Mulyono kapan
420,23 hours ago,YouTube,Makan Bergizi Gratis,Anjlok amblesss😅
421,22 hours ago,YouTube,Makan Bergizi Gratis,Amin
422,21 hours ago,YouTube,Makan Bergizi Gratis,👹
423,21 hours ago,YouTube,Makan Bergizi Gratis,Setelah Anies
424,20 hours ago,YouTube,Makan Bergizi Gratis,​ @adolffranz9502 tua banget donk🤣🤣🤣
425,17 hours ago,YouTube,Makan Bergizi Gratis,​ @adolffranz9502 buzzer
426,16 hours ago,YouTube,Makan Bergizi Gratis,​ @adolffranz9502 setuju
427,18 hours ago,YouTube,Makan Bergizi Gratis,setelah ibu bapakmu dan anis ganjar mati
428,18 hours ago,YouTube,Makan Bergizi Gratis,Ngeri 😂 si paling keras cerita nya 😂😂😂
429,22 hours ago,YouTube,Makan Bergizi Gratis,"ente bilang gtu apa sudah berpikir bro??? jangan sampe apa yg ente ucapkan itu terkena buat ente sendiri lho, hati2 dengan ucapan ya bro, coz ucapan itu sebagai doa, Barakallohu fiikum."
430,23 hours ago,YouTube,Makan Bergizi Gratis,TERMASUK GANK PENCIPTA RUSUH DN BOBROKNYA KASUS KORUPSI BROOOOO
431,1 hour ago,YouTube,Makan Bergizi Gratis,Dapur itu punya pemerintah atau swasta sih ? Kok gk boleh dipake utk kegiatan lain
432,2 hours ago,YouTube,Makan Bergizi Gratis,"Mafia MBG ya Isinya orang yang serakah maunya tiap hari merampok uang negara tanpa henti tidak mikir rakyat hidup susah, penganguran puluhan juta,  sedangkan para mafia MBG maunya dimanja tiap hari harus untung besar."
433,3 hours ago,YouTube,Makan Bergizi Gratis,Kon mangan sopo...ngawur ae..
434,5 hours ago,YouTube,Makan Bergizi Gratis,Ko rugi? Rugi atau tidak ada pemdapatan? Beda loh artinya
435,5 hours ago,YouTube,Makan Bergizi Gratis,Bubarkan sajaah mbg tdk ada gunanya
436,8 hours ago,YouTube,Makan Bergizi Gratis,"Ini orang gampang sekali terpancing 😂😂

Rugi protes 😂
Untung diam saja 😂

Begitu mudah menemukan para penghianat bangsa. 

Sama halnya waktu pak Purbaya menunda anggaran desa. Para kades protes dan akhirnya beberapa kades di tangkap karena korupsi😂"
437,11 hours ago,YouTube,Makan Bergizi Gratis,1hri 1T rupiah lebih... Tinggal kali masa libur... itulah efisiensinya
438,11 hours ago,YouTube,Makan Bergizi Gratis,😅😅😅😅 susah darahh daging koruptor nya sangt kental
439,13 hours ago,YouTube,Makan Bergizi Gratis,"KLO kepala badan gizi masih sibotak Dadang, sppg jalan terus meskipun hari kiamat"
440,13 hours ago,YouTube,Makan Bergizi Gratis,"Sppg suruh libur yg tetiak² bukan murid sekolah tapi pengusahanya, takut menghambat perut gendut"
441,13 hours ago,YouTube,Makan Bergizi Gratis,"Sppg libur bukan rugi, tapi perut yang punya dapur gendutnya agak terhambat"
442,13 hours ago,YouTube,Makan Bergizi Gratis,"Ya sppg memang harus libur juga. KLO ttp beroperasi mau buat siapa, yg sekolah kan libur, bahkan ada anak yg sudah lulus juga. 
Dari dulu UMKM jg biasa aja sebelum ada MBG"
443,14 hours ago,YouTube,Makan Bergizi Gratis,Tutup mbg...bnyk koruptor
444,15 hours ago,YouTube,Makan Bergizi Gratis,Tapi harga sayur lauk di pasar semuanya turun kok 😢😢😢 please hentikan... 😢😢😢😢
445,15 hours ago,YouTube,Makan Bergizi Gratis,"Dari sini kita tahu yg dukung MBG itu bukan mengutamakan program sosial makanan bergizi buat anak makanan gratis buat anak.. Melainkan utamanya buat bisnis, ntar ini para pengusaha dan pejabat yg punya SPPG patungan buat nyuruh karyawan nya demo😂😂"
446,16 hours ago,YouTube,Makan Bergizi Gratis,Kok lucu dan aneh banget yaa..  Anak sekolah libur yaa wajar dan seharusnya MBG ikut libur. 😊😅😅
447,16 hours ago,YouTube,Makan Bergizi Gratis,TUTUP MBG...TUTUP MBG...TUTUP MBG...TUTUP MBG... TUTUP MBG.
448,16 hours ago,YouTube,Makan Bergizi Gratis,"Yang komen rata rata menganggap yang bangun dapur itu dari uang pemerintah padahal itu dari pribadi modalnya banyak yang pinjam bank , jika per hari dapat 6 jt belum kembali modalnya"
449,16 hours ago,YouTube,Makan Bergizi Gratis,"Lho siswanya aja biasa2 aja lho
Atau yang di nanti2 insentif 6jt/hari tidak cair😂😂"
450,17 hours ago,YouTube,Makan Bergizi Gratis,Byk orang merintis usaha yg modalnya besar hutang...TDK berhasil gak teriak rugi ditanggung sendiri
451,16 hours ago,YouTube,Makan Bergizi Gratis,"Itu kesalahan sendiri SPPG menganggap MBG sebagai  bisnis  mencari profit...padahal  jelas tidak ada perputaran ekonomi semua bergantung  kucuran dana dari pusat..anda seperti  berjualan tapi  marah2 karena tidak ada yang beli,."
452,17 hours ago (edited),YouTube,Makan Bergizi Gratis,Semenjak ada MBG yg punya kantin di sekolah dan pedagang keliling yg mangkal di depan sekolah berbulan bulan merugi tidak banyak mengeluh karna menyadari tidak mungkin mampu melawan kebijakan presiden dan pemerintah yg pro terhadap pejabat2 yg korup dan orang2 kaya sedangkan yg punya sppg blm ada sebulan di liburkan sdh mengeluh yg keuntunganya mencapai jutaan perhari sdh bilang merugi
453,17 hours ago,YouTube,Makan Bergizi Gratis,"INI MANUSIA2 YG KELAPARAN, BUKAN RAKYAT. MANUSIA SEPERTI INI YANG HARUS DI SINGKARKAN."
454,17 hours ago,YouTube,Makan Bergizi Gratis,"Tutup mbg selamanya, mbg bobrok ladang korupsi,"
455,17 hours ago,YouTube,Makan Bergizi Gratis,Semua salah.. Gak ada jawaban benar😂
456,17 hours ago,YouTube,Makan Bergizi Gratis,Berhenti selamanya lebih bagus👍🏻 tidak melibatkan umkm tidak melibatkan kantin sekolah
457,17 hours ago,YouTube,Makan Bergizi Gratis,Alhamdulillah
458,18 hours ago,YouTube,Makan Bergizi Gratis,Ngelus dada denger 6 jt sehari.....😢😢😢
459,18 hours ago,YouTube,Makan Bergizi Gratis,yg butuh mbg itu pengusahanya
460,18 hours ago,YouTube,Makan Bergizi Gratis,Sebenarnya siapa sih yg lapar dan tak pernah kenyang?
461,18 hours ago,YouTube,Makan Bergizi Gratis,Warung MBG... jgn bilang grtis.. kalian di bayar dengan uang rakyat... ini ketring... jualan ajh kalian di pinggir jalan.....
462,18 hours ago,YouTube,Makan Bergizi Gratis,Rasain luuu
463,18 hours ago,YouTube,Makan Bergizi Gratis,"klo benar niat nya memberi gizi, maka berikan sj uang nya pada emak nya, biar emaknya yg masak, tapi klo niat cari untung maka ga bisa di hentikan, klo di hentikan ya rugi"
464,18 hours ago,YouTube,Makan Bergizi Gratis,"Beneran cara bisnis yg  to L0L.... 🧐

Meski nyata menghasilkan keuntungan... 🙄"
465,18 hours ago,YouTube,Makan Bergizi Gratis,Tuh kan bukan negara kasih makan rakyat tapi.kasih makan pemilik.sppg
466,19 hours ago,YouTube,Makan Bergizi Gratis,"Rugi koar koar
Giliran untung banyak,diem diem bae"
467,19 hours ago,YouTube,Makan Bergizi Gratis,"Giliran untung diam,giliran rugi koar2 seluruh indonesia sampai2 tikus tidurpun kebangun."
468,19 hours ago,YouTube,Makan Bergizi Gratis,Taukan siapa yang butuh Gizi dan lapar gizi😂
469,19 hours ago,YouTube,Makan Bergizi Gratis,"Kasihan kasihan kasihan,gak bs korupsi 3minggu aja dah mbacot yang gak2
Mending tutup selamanya,biar kurus kering
Stop MBG. ...."
470,19 hours ago,YouTube,Makan Bergizi Gratis,"MBG bila jalan lagi, korupsi akan merajalela lagi, diatas nya sudah motong apalagi kebawah nya, walaupun niat baik tapi intinya bakal terus bertumbuh korupsi"
471,19 hours ago (edited),YouTube,Makan Bergizi Gratis,"Biaya bangun dapur MBG lebih kurang 500 jutaan, dan dari sewa itu mereka dapatkan 6 juta perhari, jadi dari situ saja selama 100 hari mereka sdh lebih dari break even point, dan seterusnya...tinggal menikmati kedunguan negara"
472,18 hours ago,YouTube,Makan Bergizi Gratis,Kasih makan anak tp yg untung sppg
